"Item Code","Colour Code","Item Description","Enriched Description",high_res_1,high_res_2,high_res_3,high_res_4,high_res_5,high_res_6,high_res_7,image_1,image_2,image_3,image_4,image_5,image_6,image_7,image_8,image_9,image_10,image_11,image_12,image_13,image_14,image_15,image_16
M7110300A,3LS,"Organic Cotton Core Cargo Shorts","Cargo shorts add a rugged vibe to the vintage style - easy to wear and comfortable for all kinds of situations, these are an excellent pick for a wardrobe staple. Wear them with sandals for adventures in the sun and on the beach. Relaxed fit – the classic Superdry fit. Not too slim, not too loose, just right. Go for your normal size, Zip and popper fastening, Belt loops, Four front pockets with a fifth coin pocket, Two back popper pockets, Signature Superdry patches on front and back.",https://lookbook.superdrywholesale.com/HighRes/m7110300a_3ls_D1.tif,https://lookbook.superdrywholesale.com/HighRes/m7110300a_3ls_D2.tif,https://lookbook.superdrywholesale.com/HighRes/m7110300a_3ls_D3.tif,https://lookbook.superdrywholesale.com/HighRes/m7110300a_3ls_D4.tif,https://lookbook.superdrywholesale.com/HighRes/m7110300a_3ls_D5.tif,https://lookbook.superdrywholesale.com/HighRes/m7110300a_3ls_DO.tif,https://lookbook.superdrywholesale.com/HighRes/m7110300a_3ls_F.tif,https://image1.superdry.com/static/images/products/upload9223368955666203116.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666203115.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666203112.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666203111.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666203110.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666203108.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666203113.jpg,https://image1.superdry.com/static/images/products/M7110300A_3LS_D9.jpg,,,,,,,,
M7110300A,L3L,"Organic Cotton Core Cargo Shorts","Cargo shorts add a rugged vibe to the vintage style - easy to wear and comfortable for all kinds of situations, these are an excellent pick for a wardrobe staple. Wear them with sandals for adventures in the sun and on the beach. Relaxed fit – the classic Superdry fit. Not too slim, not too loose, just right. Go for your normal size, Zip and popper fastening, Belt loops, Four front pockets with a fifth coin pocket, Two back popper pockets, Signature Superdry patches on front and back.",https://lookbook.superdrywholesale.com/HighRes/m7110300a_l3l_D1.tif,https://lookbook.superdrywholesale.com/HighRes/m7110300a_l3l_D2.tif,https://lookbook.superdrywholesale.com/HighRes/m7110300a_l3l_D3.tif,https://lookbook.superdrywholesale.com/HighRes/m7110300a_l3l_D4.tif,https://lookbook.superdrywholesale.com/HighRes/m7110300a_l3l_DO.tif,https://lookbook.superdrywholesale.com/HighRes/m7110300a_l3l_F.tif,https://lookbook.superdrywholesale.com/HighRes/m7110300a_l3l_M.tif,https://image1.superdry.com/static/images/products/upload9223368955666217678.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666217677.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666217674.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666217670.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666217673.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666217672.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666217675.jpg,https://image1.superdry.com/static/images/products/M7110300A_L3L_D9.jpg,,,,,,,,
M7110300A,98T,"Organic Cotton Core Cargo Shorts","Cargo shorts add a rugged vibe to the vintage style - easy to wear and comfortable for all kinds of situations, these are an excellent pick for a wardrobe staple. Wear them with sandals for adventures in the sun and on the beach. Relaxed fit – the classic Superdry fit. Not too slim, not too loose, just right. Go for your normal size, Zip and popper fastening, Belt loops, Four front pockets with a fifth coin pocket, Two back popper pockets, Signature Superdry patches on front and back.",https://lookbook.superdrywholesale.com/HighRes/m7110300a_98t_D1.tif,https://lookbook.superdrywholesale.com/HighRes/m7110300a_98t_D2.tif,https://lookbook.superdrywholesale.com/HighRes/m7110300a_98t_D3.tif,https://lookbook.superdrywholesale.com/HighRes/m7110300a_98t_D4.tif,https://lookbook.superdrywholesale.com/HighRes/m7110300a_98t_DO.tif,https://lookbook.superdrywholesale.com/HighRes/m7110300a_98t_M.tif,,https://image1.superdry.com/static/images/products/upload9223368955666207451.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666207450.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666207443.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666207447.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666207446.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666207445.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666207448.jpg,https://image1.superdry.com/static/images/products/M7110300A_98T_D9.jpg,,,,,,,,
M1011637A,T7X,"Code Surplus Logo T-Shirt","Opt for a sleek and minimalist look for your sporty wardrobe. This clean classic shows off our Superdry brand with a subtle style. Loose Fit – where comfort meets cool, a stylish loose cut makes this a must-have shape, Ribbed crew neck collar, Short sleeves, Printed graphic, Signature Superdry tab.",https://lookbook.superdrywholesale.com/HighRes/m1011637a_t7x_D1.tif,https://lookbook.superdrywholesale.com/HighRes/M1011637A_T7X_D9.tif,https://lookbook.superdrywholesale.com/HighRes/m1011637a_t7x_DO.tif,https://lookbook.superdrywholesale.com/HighRes/m1011637a_t7x_M.tif,,,,https://image1.superdry.com/static/images/products/zoom/upload9223368955666196937.jpg,https://image1.superdry.com/static/images/products/upload9223368955666196942.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666196941.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666196939.jpg,https://image1.superdry.com/static/images/products/M1011637A_T7X_D9.jpg,,,,,,,,,,,
M7110397A,98T,"Officer Chino Shorts","Chinos are a classic, practical style, relevant since they were introduced as military wear over a century ago. You can count on this comfortable design by rocking these rustic shorts to tackle whatever the day has in store. Slim fit – designed to fit closer to the body for a more tailored look, Zip and button fastening, Belt loops, Two side pockets, Coin pocket, Two back button pockets, Signature Superdry patch.",https://lookbook.superdrywholesale.com/HighRes/m7110397a_98t_D1.tif,https://lookbook.superdrywholesale.com/HighRes/m7110397a_98t_D2.tif,https://lookbook.superdrywholesale.com/HighRes/m7110397a_98t_D3.tif,https://lookbook.superdrywholesale.com/HighRes/m7110397a_98t_D4.tif,https://lookbook.superdrywholesale.com/HighRes/m7110397a_98t_DO.tif,https://lookbook.superdrywholesale.com/HighRes/m7110397a_98t_M.tif,,https://image1.superdry.com/static/images/products/upload9223368955666215171.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666215170.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666215163.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666215165.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666215166.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666215167.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666215168.jpg,https://image1.superdry.com/static/images/products/M7110397A_98T_D9.jpg,,,,,,,,
M7110397A,ZTV,"Officer Chino Shorts","Chinos are a classic, practical style, relevant since they were introduced as military wear over a century ago. You can count on this comfortable design by rocking these rustic shorts to tackle whatever the day has in store. Slim fit – designed to fit closer to the body for a more tailored look, Zip and button fastening, Belt loops, Two side pockets, Coin pocket, Two back button pockets, Signature Superdry patch.",https://lookbook.superdrywholesale.com/HighRes/m7110397a_ztv_D1.tif,https://lookbook.superdrywholesale.com/HighRes/m7110397a_ztv_D2.tif,https://lookbook.superdrywholesale.com/HighRes/m7110397a_ztv_D3.tif,https://lookbook.superdrywholesale.com/HighRes/m7110397a_ztv_D4.tif,https://lookbook.superdrywholesale.com/HighRes/m7110397a_ztv_DO.tif,https://lookbook.superdrywholesale.com/HighRes/m7110397a_ztv_M.tif,,https://image1.superdry.com/static/images/products/upload9223368955666177869.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666177868.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666177864.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666177863.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666177861.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666177865.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666177866.jpg,https://image1.superdry.com/static/images/products/M7110397A_ZTV_D9.jpg,,,,,,,,
W6011652A,71D,"Vintage Lace Yoke Cami Top","Bring a bohemian spirit to your casualwear this summer with the Vintage Lace Yoke Cami Top. This beautifully crafted top is perfect for those warm days and adds an embroidered elegance to your fair-weather wardrobe. Loose Fit – where comfort meets cool, a stylish loose cut makes this a must-have shape, High neck, Sleeveless, Embroidered geometric pattern, Tie fastening on back.",https://lookbook.superdrywholesale.com/HighRes/w6011652a_71d_D1.tif,https://lookbook.superdrywholesale.com/HighRes/w6011652a_71d_D2.tif,https://lookbook.superdrywholesale.com/HighRes/w6011652a_71d_DO.tif,https://lookbook.superdrywholesale.com/HighRes/w6011652a_71d_M.tif,,,,https://image1.superdry.com/static/images/products/upload9223368955666219234.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666219233.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666219230.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666219228.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666219231.jpg,,,,,,,,,,,
W6011651A,71D,"Cotton Beach Top","Bring bohemian chic to your look with our Cotton Beach Top. An ideal option for covering up whilst keeping it cool, this top is a lightweight choice that embraces an artisan-style to elevate your curated outfits. Loose Fit – where comfort meets cool, a stylish loose cut makes this a must-have shape, Broderie detailing, Lace inserts, Drawstring collar with tassels, Button fastening, Raglan sleeves, Button cuffs, Metal Superdry tab.",https://lookbook.superdrywholesale.com/HighRes/w6011651a_71d_D1.tif,https://lookbook.superdrywholesale.com/HighRes/w6011651a_71d_D2.tif,https://lookbook.superdrywholesale.com/HighRes/w6011651a_71d_DO.tif,https://lookbook.superdrywholesale.com/HighRes/w6011651a_71d_M.tif,,,,https://image1.superdry.com/static/images/products/upload9223368955666222427.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666222426.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666222424.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666222423.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666222421.jpg,,,,,,,,,,,
W8011439A,71D,"Embroidered Jumpsuit","Get a classic look with our Embroidered Jumpsuit. Designed to bring you a classy option for those warmer days, this jumpsuit is an effortless way to bring a subtle bohemian touch to your look. Whether you're getting ready for a night of cocktails or walking along the beach, this option is a chic choice. Slim fit – designed to fit closer to the body for a more tailored look, High neck, Embroidered torso, Wide legs, Tie up straps at the back, Open back, Metal Superdry badge.",https://lookbook.superdrywholesale.com/HighRes/w8011439a_71d_D1.tif,https://lookbook.superdrywholesale.com/HighRes/w8011439a_71d_D2.tif,https://lookbook.superdrywholesale.com/HighRes/w8011439a_71d_D3.tif,https://lookbook.superdrywholesale.com/HighRes/w8011439a_71d_D4.tif,https://lookbook.superdrywholesale.com/HighRes/w8011439a_71d_DO.tif,https://lookbook.superdrywholesale.com/HighRes/w8011439a_71d_M.tif,,https://image1.superdry.com/static/images/products/upload9223368955666222470.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666222469.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666222462.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666222464.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666222466.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666222465.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666222467.jpg,https://image1.superdry.com/static/images/products/W8011439A_71D_D9.jpg,,,,,,,,
W8011433A,71D,"Cold Shoulder Mini Dress","Channel that free-flowing style into your outfit with our Cold Shoulder Mini Dress. The loose fit creates an authentic silhouette, one that you can adjust to suit your comfort and style with its drawstring waist. Cold shoulders elevate the style and enhance that bohemian carefree look, whilst the lace detailing adds a delicate touch. Whether you're layering it over a bikini or getting ready for a sunny brunch, this dress is an ideal choice. Loose Fit – where comfort meets cool, a stylish loose cut makes this a must-have shape, Lace trims and inserts, V neck, Spaghetti straps, Elasticated shoulders, 3/4 length bell sleeves, Drawstring waist.",https://lookbook.superdrywholesale.com/HighRes/w8011433a_71d_D1.tif,https://lookbook.superdrywholesale.com/HighRes/w8011433a_71d_D2.tif,https://lookbook.superdrywholesale.com/HighRes/w8011433a_71d_D3.tif,https://lookbook.superdrywholesale.com/HighRes/w8011433a_71d_D4.tif,https://lookbook.superdrywholesale.com/HighRes/w8011433a_71d_DO.tif,https://lookbook.superdrywholesale.com/HighRes/w8011433a_71d_M.tif,,https://image1.superdry.com/static/images/products/upload9223368955666217463.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666217462.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666217455.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666217457.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666217458.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666217459.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666217460.jpg,,,,,,,,,
